symbol,version
WerpGetFileByIndex,10.0.22621
WerpGetFilePathByIndex,10.0.22621
WerpGetLegacyBucketId,10.0.22621
WerpGetLoadedModuleByIndex,10.0.22621
WerpGetNumFiles,10.0.22621
WerpGetNumLoadedModules,10.0.22621
WerpGetNumSigParams,10.0.22621
WerpGetPathOfWERTempDirectory,10.0.22621
WerpGetReportCount,10.0.22621
WerpGetReportFinalConsent,10.0.22621
WerpGetReportFlags,10.0.22621
WerpGetReportId,10.0.22621
WerpGetReportInformation,10.0.22621
WerpGetReportSettings,10.0.22621
WerpGetReportTime,10.0.22621
WerpGetReportType,10.0.22621
WerpGetResponseId,10.0.22621
WerpGetSigParamByIndex,10.0.22621
WerpGetStorePath,10.0.22621
WerpGetStoreType,10.0.22621
WerpGetTextFromReport,10.0.22621
WerpGetUIParamByIndex,10.0.22621
WerpGetUploadTime,10.0.22621
WerpGetWerStringData,10.0.22621
WerpGetWow64Process,10.0.22621
WerpHasOobeCompleted,10.0.22621
WerpHashApplicationParameters,10.0.22621
WerpIsOnBattery,10.0.22621
WerpIsTransportAvailable,10.0.22621
WerpLoadReportFromBuffer,10.0.22621
WerpOpenMachineArchive,10.0.22621
WerpOpenMachineQueue,10.0.22621
WerpPromptUser,10.0.22621
WerpPruneStore,10.0.22621
WerpReportCancel,10.0.22621
WerpReportSetMaxProcessHoldMilliseconds,10.0.22621
WerpReportSprintfParameter,10.0.22621
WerpReserveMachineQueueReportDir,10.0.22621
WerpRestartApplication,10.0.22621
WerpSetDynamicParameter,10.0.22621
WerpSetEventName,10.0.22621
WerpSetProcessTimelines,10.0.22621
WerpSetQuickDumpType,10.0.22621
WerpSetReportApplicationIdentity,10.0.22621
WerpSetReportFlags,10.0.22621
WerpSetReportInformation,10.0.22621
WerpSetReportIsFatal,10.0.22621
WerpSetReportNamespaceParameter,10.0.22621
WerpSetReportTime,10.0.22621
WerpSetReportUploadContextToken,10.0.22621
WerpSetTelemetryAppParams,10.0.22621
WerpSetTelemetryKernelParams,10.0.22621
WerpSetTelemetryServiceParams,10.0.22621
WerpShowUpsellUI,10.0.22621
WerpSubmitReportFromStore,10.0.22621
WerpTraceAuxMemDumpStatistics,10.0.22621
WerpTraceDuration,10.0.22621
WerpTraceImageCacheStatistics,10.0.22621
WerpTraceSnapshotStatistics,10.0.22621
WerpTraceStitchedDumpWriterStatistics,10.0.22621
WerpTraceUnmappedVaRangesStatistics,10.0.22621
WerpUnmapProcessViews,10.0.22621
WerpValidateReportKey,10.0.22621
WerpWalkGatherBlocks,10.0.22621
WinHttpConnectionOnlyConvert,10.0.22621
WinHttpConnectionOnlyReceive,10.0.22621
WinHttpConnectionOnlySend,10.0.22621
WinHttpFreeProxySettingsEx,10.0.22621
WinHttpGetProxySettingsEx,10.0.22621
WinHttpGetProxySettingsResultEx,10.0.22621
WinHttpRegisterProxyChangeNotification,10.0.22621
WinHttpUnregisterProxyChangeNotification,10.0.22621
WldpCanExecuteBuffer,10.0.22621
WldpCanExecuteFile,10.0.22621
WldpCanExecuteStream,10.0.22621
ZwCopyFileChunk,10.0.22621
ZwCreateCpuPartition,10.0.22621
ZwOpenCpuPartition,10.0.22621
ZwQueryInformationCpuPartition,10.0.22621
ZwSetInformationCpuPartition,10.0.22621
ActivatePackageVirtualizationContext,10.0.22000
AddPackageDependency,10.0.22000
ApplyDeltaGetReverseB,10.0.22000
BuildIoRingCancelRequest,10.0.22000
BuildIoRingReadFile,10.0.22000
BuildIoRingRegisterBuffers,10.0.22000
BuildIoRingRegisterFileHandles,10.0.22000
CloseIoRing,10.0.22000
ClusterGetMaximumAccessForToken,10.0.22000
ClusterWprAddMarker,10.0.22000
ClusterWprCancel,10.0.22000
ClusterWprCaptureState,10.0.22000
ClusterWprFlush,10.0.22000
ClusterWprStart,10.0.22000
ClusterWprStop,10.0.22000
ComputeHashFromEntryName,10.0.22000
CreateIoRing,10.0.22000
CreatePackageVirtualizationContext,10.0.22000
CreatePresentationFactory,10.0.22000
D3DKMTCancelPresents,10.0.22000
D3DKMTCheckSinglePlaneForMultiPlaneOverlaySupport,10.0.22000
DCompositionBoostCompositorClock,10.0.22000
DCompositionGetFrameId,10.0.22000
DCompositionGetStatistics,10.0.22000
DCompositionGetTargetStatistics,10.0.22000
DCompositionWaitForCompositorClock,10.0.22000
DeactivatePackageVirtualizationContext,10.0.22000
DeletePackageDependency,10.0.22000
DnsFreeCustomServers,10.0.22000
DnsGetApplicationSettings,10.0.22000
DnsNotifyProxyConfigChangePrivate,10.0.22000
DnsSetApplicationSettings,10.0.22000
DuplicatePackageVirtualizationContext,10.0.22000
EfsClientAddUsers,10.0.22000
EfsClientEncryptFile,10.0.22000
EfsClientFreeHashList,10.0.22000
EfsClientQueryRecoveryAgents,10.0.22000
EfsClientQueryUsers,10.0.22000
EfsClientRemoveUsers,10.0.22000
GetCurrentPackageVirtualizationContext,10.0.22000
GetGuestEnabledVirtualTrustLevels,10.0.22000
GetGuestOsInfo,10.0.22000
GetIdForPackageDependencyContext,10.0.22000
GetIoRingInfo,10.0.22000
GetMachineTypeAttributes,10.0.22000
GetProcessesInVirtualizationContext,10.0.22000
GetResolvedPackageFullNameForPackageDependency,10.0.22000
HcnCloseGuestNetworkService,10.0.22000
HcnCreateGuestNetworkService,10.0.22000
HcnDeleteGuestNetworkService,10.0.22000
HcnEnumerateGuestNetworkPortReservations,10.0.22000
HcnFreeGuestNetworkPortReservations,10.0.22000
